user_id,name,email
101,Arjun,user101@example.com
102,Ananya,user102@example.com
103,Ananya,user103@example.com
104,Rahul,user104@example.com
105,Kavya,user105@example.com
106,Neha,user106example.com
107,Kavya,user107@example.com
108,Neha,user108@example.com
109,Rohan,user109@example.com
110,Arjun,user110@example.com
111,Aditya,user111@example.com
112,Ananya,user112@example.com
113,,user113@example.com
114,Vivaan,user114@example.com
115,Aarav,user115@example.com
116,Vivaan,user116@example.com
117,Aditya,user117@example.com
118,Aditya,user118@example.com
119,Neha,user119@example.com
120,Kavya,user120@example.com
