user_id,name,email
1,Vivaan,user1@example.com
2,Aarav,user2@example.com
3,Rahul,user3@example.com
4,Arjun,user4@example.com
5,Arjun,user5@example.com
6,Aditya,user6example.com
7,Vivaan,user7@example.com
8,Ananya,user8@example.com
9,Vivaan,user9@example.com
10,Kavya,user10@example.com
11,Neha,user11@example.com
12,Aarav,user12@example.com
13,,user13@example.com
14,Vivaan,user14@example.com
15,Arjun,user15@example.com
16,Arjun,user16@example.com
17,Ananya,user17@example.com
18,Kavya,user18@example.com
19,Aarav,user19@example.com
20,Ananya,user20@example.com
